,Timestamp,Station_ID,Station_Name,Value
0,2025-01-01T08:59:00+08:00,S109,Ang Mo Kio Avenue 5,26.6
1,2025-01-01T08:59:00+08:00,S106,Pulau Ubin,26.9
2,2025-01-01T08:59:00+08:00,S117,Banyan Road,27.6
3,2025-01-01T08:59:00+08:00,S107,East Coast Parkway,27.3
4,2025-01-01T08:59:00+08:00,S104,Woodlands Avenue 9,26.3
5,2025-01-01T08:59:00+08:00,S115,Tuas South Avenue 3,26.5
6,2025-01-01T08:59:00+08:00,S116,West Coast Highway,26.8
7,2025-01-01T08:59:00+08:00,S60,Sentosa,28.0
8,2025-01-01T08:59:00+08:00,S50,Clementi Road,26.6
9,2025-01-01T08:59:00+08:00,S43,Kim Chuan Road,27.0
10,2025-01-01T08:59:00+08:00,S24,Upper Changi Road North,27.4
11,2025-01-01T08:59:00+08:00,S06,Paya Lebar,27.5
12,2025-01-01T08:59:00+08:00,S111,Scotts Road,26.8
13,2025-01-01T08:59:00+08:00,S121,Old Choa Chu Kang Road,26.2
14,2025-01-01T09:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.0
15,2025-01-01T09:59:00+08:00,S106,Pulau Ubin,28.2
16,2025-01-01T09:59:00+08:00,S117,Banyan Road,28.9
17,2025-01-01T09:59:00+08:00,S107,East Coast Parkway,28.2
18,2025-01-01T09:59:00+08:00,S104,Woodlands Avenue 9,27.7
19,2025-01-01T09:59:00+08:00,S115,Tuas South Avenue 3,27.3
20,2025-01-01T09:59:00+08:00,S116,West Coast Highway,27.7
21,2025-01-01T09:59:00+08:00,S60,Sentosa,29.0
22,2025-01-01T09:59:00+08:00,S50,Clementi Road,27.7
23,2025-01-01T09:59:00+08:00,S43,Kim Chuan Road,28.2
24,2025-01-01T09:59:00+08:00,S24,Upper Changi Road North,28.8
25,2025-01-01T09:59:00+08:00,S06,Paya Lebar,28.8
26,2025-01-01T09:59:00+08:00,S111,Scotts Road,28.0
27,2025-01-01T09:59:00+08:00,S121,Old Choa Chu Kang Road,27.6
28,2025-01-01T10:59:00+08:00,S109,Ang Mo Kio Avenue 5,29.0
29,2025-01-01T10:59:00+08:00,S106,Pulau Ubin,29.6
30,2025-01-01T10:59:00+08:00,S117,Banyan Road,30.0
31,2025-01-01T10:59:00+08:00,S107,East Coast Parkway,29.2
